AATFBF	AGGF1BF	AGOBF	AKAP8LBF	APOBEC3CBF	AQRBF	BCLAF1BF	BUD13BF	CDC40BF	CPSF6BF	CSTF2TBF	DDX24BF	DDX3XBF	DDX55BF	DDX59BF	DDX6BF	DICERBF	DKC1BF	DROSHABF	EFTUD2BF	EIF3DBF	EIF3HBF	EWSR1BF	FMR1BF	FTOBF	FUSBF	FXR2BF	G3BP1BF	GEMIN5BF	GPKOWBF	GRWD1BF	GTF2F1BF	HLTFBF	HNRNPKBF	HNRNPMBF	IGF2BP1BF	IGF2BP2BF	IGF2BP3BF	KHSRPBF	LARP4BF	LARP7BF	LIN28BBF	LSM11BF	METAP2BF	MTPAPBF	NCBP2BF	NIP7BF	NIPBLBF	NOLC1BF	NONOBF	PABPC4BF	PABPN1BF	PCBP1BF	PCBP2BF	PHF6BF	PPIGBF	PRPF4BF	PRPF8BF	PTBP1BF	PUM1BF	PUM2BF	RBFOX2BF	RBM15BF	RBM22BF	RBM5BF	RPS3BF	SF3A3BF	SF3B4BF	SMNDC1BF	SND1BF	SRSF1BF	SRSF7BF	SRSF9BF	SSBBF	SUB1BF	SUPV3L1BF	TARDBPBF	TIA1BF	TIAL1BF	TRA2ABF	TROVE2BF	U2AF1BF	U2AF2BF	UCHL5BF	UPF1BF	XPO5BF	XRCC6BF	XRN2BF	YBX3BF	ZC3H11ABF	ZC3H8BF	ZNF622BF	ZNF800BF
IGF2BP1	0.121491436856663	0	0	0	0	0	0	0	0	0	0.131650721467893	0	0	0	0	0	0	0	0.00294784431208566	0	0	0	0.131650721467893	0	0	0	0	0	0	0	0	0	0	0	0	4.1885021534889	0	0	0	0	0	0	0	0.032119661780488	0	0	0	0	0	0.0674304363062403	0.0685745956167184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGF2BP2	0	0	0	0	0	0	0	0	0	0	0	0.0861418179426118	0	0	0	0	0	0	0	0	0.0739725116049253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0443405294703107	3.92129503151595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGF2BP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0443405294703107	0	1.49829492554149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.280069814469877
KHSRP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.83511525344349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.135874734612472	0	0	0	0	0.933388167418683	0	0	0	0	0	0	0	0	0	0
LARP4	0	0	0	0	0	0	0	0	0	0	0	0	0.969839119519006	0.716784088191074	0.122733122410661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.75677273372908	0	0	0	0.032119661780488	0	0.878231328825712	0	0	0	0	1.70333030956918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.445762250260886	0	0	0	0	0	0.00372032346796172	0	0	0	0	0	0	0	0.685650498963326	0	0	0	0
LARP7	0.277993902437102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.206733345964323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.255057228791398	0	0	0	0	0	0.266691835562134	0.35129624164481	0.223000727065329	0	0	0	0	0	0.255057228791398	0	0	0	0.255057228791398	0	0	0	0	0	0	0	0	0	0.100602959704635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.256732291361746	0	0
LIN28B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.405485867835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0274759857650713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSM11	0.121491436856663	0	0	0	0	0	0	0	0	0	0.131650721467893	0	0	0	0	0	0	0	0.00294784431208566	0	0	0	0.131650721467893	0	0	0	0	0	0	0	0	0	0	0	0	0.0443405294703107	0	0	0	0	0	0	2.91899643364991	0.032119661780488	0	0	0	0	0	0.0674304363062403	0.0685745956167184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.172868618145569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
METAP2	0.0738424445243855	0	0	0	0	0	0	0	0	0	0.108564263607377	0	0	0	0	0	0	0	0.00144042039701417	0	0	0	0.108564263607377	0	0	0	0	0	0	0	0	0	0	0	0	0.00144042039701417	0	0	0	0	0	0	0	5.27606001670769	0	0	0	0	0	0.0451069311358833	0.1066463164311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTPAP	0	0	0	0.295555942179685	0	0	0	0	0	0	0	0	0	0	0	0.174298360467079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.26035596136606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0170264257769118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
